time,measurement,field,value,application,batchId,configurationId,executionCounter,host,projectId,userId
2026-05-16 10:29:10+00:00,mem,active,14072012800.0,dbms,clickbench,postgresql-indexed-load,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:29:20+00:00,mem,active,14239735808.0,dbms,clickbench,postgresql-indexed-load,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:29:30+00:00,mem,active,14248587264.0,dbms,clickbench,postgresql-indexed-load,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:29:40+00:00,mem,active,14254329856.0,dbms,clickbench,postgresql-indexed-load,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:29:50+00:00,mem,active,14260940800.0,dbms,clickbench,postgresql-indexed-load,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:30:00+00:00,mem,active,14269177856.0,dbms,clickbench,postgresql-indexed-load,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:30:10+00:00,mem,active,14276476928.0,dbms,clickbench,postgresql-indexed-load,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:30:20+00:00,mem,active,14286848000.0,dbms,clickbench,postgresql-indexed-load,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:30:30+00:00,mem,active,14297214976.0,dbms,clickbench,postgresql-indexed-load,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:30:40+00:00,mem,active,14303477760.0,dbms,clickbench,postgresql-indexed-load,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:30:50+00:00,mem,active,14303473664.0,dbms,clickbench,postgresql-indexed-load,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:31:00+00:00,mem,active,14303596544.0,dbms,clickbench,postgresql-indexed-load,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:31:10+00:00,mem,active,14303596544.0,dbms,clickbench,postgresql-indexed-load,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:31:20+00:00,mem,active,14303584256.0,dbms,clickbench,postgresql-indexed-load,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:31:30+00:00,mem,active,14303571968.0,dbms,clickbench,postgresql-indexed-load,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:31:40+00:00,mem,active,14303518720.0,dbms,clickbench,postgresql-indexed-load,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:31:50+00:00,mem,active,14303551488.0,dbms,clickbench,postgresql-indexed-load,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:32:00+00:00,mem,active,14303576064.0,dbms,clickbench,postgresql-indexed-load,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:32:10+00:00,mem,active,14303576064.0,dbms,clickbench,postgresql-indexed-load,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:32:20+00:00,mem,active,14303559680.0,dbms,clickbench,postgresql-indexed-load,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:32:30+00:00,mem,active,14303559680.0,dbms,clickbench,postgresql-indexed-load,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:32:40+00:00,mem,active,14303559680.0,dbms,clickbench,postgresql-indexed-load,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:32:50+00:00,mem,active,14303547392.0,dbms,clickbench,postgresql-indexed-load,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:33:00+00:00,mem,active,14303514624.0,dbms,clickbench,postgresql-indexed-load,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:33:10+00:00,mem,active,14303502336.0,dbms,clickbench,postgresql-indexed-load,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:33:20+00:00,mem,active,14303498240.0,dbms,clickbench,postgresql-indexed-load,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:33:30+00:00,mem,active,14303494144.0,dbms,clickbench,postgresql-indexed-load,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:33:40+00:00,mem,active,14303490048.0,dbms,clickbench,postgresql-indexed-load,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:33:50+00:00,mem,active,14303494144.0,dbms,clickbench,postgresql-indexed-load,1,ip-172-31-19-62,olap,benchANT
2026-05-16 10:34:00+00:00,mem,active,14303522816.0,dbms,clickbench,postgresql-indexed-load,1,ip-172-31-19-62,olap,benchANT
