time,measurement,field,value,application,batchId,configurationId,executionCounter,host,interface,projectId,userId
2026-06-04 07:50:00+00:00,net,bytes_recv,111704618841,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 07:50:10+00:00,net,bytes_recv,111704619264,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 07:50:20+00:00,net,bytes_recv,111704619611,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 07:50:30+00:00,net,bytes_recv,111704619882,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 07:50:40+00:00,net,bytes_recv,111704620229,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 07:50:50+00:00,net,bytes_recv,111704620656,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 07:51:00+00:00,net,bytes_recv,111704620927,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 07:51:10+00:00,net,bytes_recv,111704621274,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 07:51:20+00:00,net,bytes_recv,111704621825,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 07:51:30+00:00,net,bytes_recv,111704622096,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 07:51:40+00:00,net,bytes_recv,111704622495,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 07:51:50+00:00,net,bytes_recv,111704622894,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 07:52:00+00:00,net,bytes_recv,111704623241,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 07:52:10+00:00,net,bytes_recv,111704623588,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 07:52:20+00:00,net,bytes_recv,111704623935,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 07:52:30+00:00,net,bytes_recv,111704624282,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 07:52:40+00:00,net,bytes_recv,111704624553,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 07:52:50+00:00,net,bytes_recv,111704625004,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
2026-06-04 07:53:00+00:00,net,bytes_recv,111704625351,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,enp39s0,olap,benchANT
