time,measurement,field,value,application,batchId,configurationId,executionCounter,host,projectId,userId
2026-06-04 07:50:00+00:00,swap,free,0.0,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,olap,benchANT
2026-06-04 07:50:10+00:00,swap,free,0.0,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,olap,benchANT
2026-06-04 07:50:20+00:00,swap,free,0.0,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,olap,benchANT
2026-06-04 07:50:30+00:00,swap,free,0.0,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,olap,benchANT
2026-06-04 07:50:40+00:00,swap,free,0.0,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,olap,benchANT
2026-06-04 07:50:50+00:00,swap,free,0.0,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,olap,benchANT
2026-06-04 07:51:00+00:00,swap,free,0.0,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,olap,benchANT
2026-06-04 07:51:10+00:00,swap,free,0.0,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,olap,benchANT
2026-06-04 07:51:20+00:00,swap,free,0.0,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,olap,benchANT
2026-06-04 07:51:30+00:00,swap,free,0.0,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,olap,benchANT
2026-06-04 07:51:40+00:00,swap,free,0.0,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,olap,benchANT
2026-06-04 07:51:50+00:00,swap,free,0.0,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,olap,benchANT
2026-06-04 07:52:00+00:00,swap,free,0.0,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,olap,benchANT
2026-06-04 07:52:10+00:00,swap,free,0.0,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,olap,benchANT
2026-06-04 07:52:20+00:00,swap,free,0.0,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,olap,benchANT
2026-06-04 07:52:30+00:00,swap,free,0.0,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,olap,benchANT
2026-06-04 07:52:40+00:00,swap,free,0.0,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,olap,benchANT
2026-06-04 07:52:50+00:00,swap,free,0.0,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,olap,benchANT
2026-06-04 07:53:00+00:00,swap,free,0.0,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,olap,benchANT
