time,measurement,field,value,application,batchId,configurationId,executionCounter,host,projectId,userId
2026-06-04 07:50:00+00:00,system,load1,0.32,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,olap,benchANT
2026-06-04 07:50:10+00:00,system,load1,1.04,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,olap,benchANT
2026-06-04 07:50:20+00:00,system,load1,1.65,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,olap,benchANT
2026-06-04 07:50:30+00:00,system,load1,2.16,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,olap,benchANT
2026-06-04 07:50:40+00:00,system,load1,2.6,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,olap,benchANT
2026-06-04 07:50:50+00:00,system,load1,2.97,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,olap,benchANT
2026-06-04 07:51:00+00:00,system,load1,3.28,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,olap,benchANT
2026-06-04 07:51:10+00:00,system,load1,3.55,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,olap,benchANT
2026-06-04 07:51:20+00:00,system,load1,3.77,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,olap,benchANT
2026-06-04 07:51:30+00:00,system,load1,3.96,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,olap,benchANT
2026-06-04 07:51:40+00:00,system,load1,4.12,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,olap,benchANT
2026-06-04 07:51:50+00:00,system,load1,4.26,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,olap,benchANT
2026-06-04 07:52:00+00:00,system,load1,4.37,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,olap,benchANT
2026-06-04 07:52:10+00:00,system,load1,4.47,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,olap,benchANT
2026-06-04 07:52:20+00:00,system,load1,4.62,dbms,tpc-ds,postgresql-plain-100gb-load,1,ip-172-31-23-167,olap,benchANT
